signature,size,buggy_gen,state+fault,interval,commits,churn
proposal/myrmidon/src/main/org/apache/tools/ant/types/Path.java^237^262+proposal/myrmidon/src/todo/org/apache/tools/ant/types/Path.java^237^262,26,False,I_N,M_N,17997f2^36a0800,6
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/PropertyFile.java^205^238+src/main/org/apache/tools/ant/taskdefs/optional/PropertyFile.java^223^249,34,True,I_Y,Y_Y,6187610^6cbeee3,8
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java^260^312+proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java^260^312,53,False,I_N,W_N,598017b^7fb3592,2
proposal/myrmidon/src/java/org/apache/aut/tar/TarBuffer.java^262^294+proposal/myrmidon/src/java/org/apache/aut/tar/TarBuffer.java^304^336,33,False,I_N,M_N,ee6f20f^0b93bdd,76
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/exec/ExecuteWatchdog.java^115^162+src/main/org/apache/tools/ant/taskdefs/ExecuteWatchdog.java^139^171,48,False,I_N,W_N,45989d1^007e5e2,14
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/dotnet/Ilasm.java^308^319+proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/dotnet/CSharp.java^678^689,12,False,I_N^I_N^I_N,M_N^M_N^M_N,fc800c7^8ce1de2^36a0800^9e8e575,4^5^59
src/tests/junit/org/apache/tools/ant/util/VectorSetTest.java^133^147+src/tests/junit/org/apache/tools/ant/util/VectorSetTest.java^167^181,15,False,I_N,YY_N,b61c807^1ae6809,30
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/Cab.java^128^155+src/main/org/apache/tools/ant/taskdefs/optional/Cab.java^284^305,28,True,I_N^I_Y,W_N^Y_Y,624fb42^30655bb^2737393,11^36
src/testcases/org/apache/tools/ant/taskdefs/FixCrLfTest.java^190^216+src/testcases/org/apache/tools/ant/taskdefs/ReplaceTest.java^81^107,27,False,I_N,D_N,ca15135^66555ca,2
proposal/myrmidon/src/todo/org/apache/tools/todo/taskdefs/conditions/Http.java^46^75+src/main/org/apache/tools/ant/taskdefs/condition/Http.java^84^103,30,False,C_N,M_N,7fb3592^9fb2961,3
