CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy
False,17,7,C,15,0.0,48,1,0,0,0.0,SYNC,1,0,1,0,0,0,13.7,False
False,17,7,C,18,0.0,17,2,0,0,0.0,SYNC,2,0,2,0,0,0,13.7,False
False,25,8,C,15,0.0,50,1,0,0,0.0,SYNC,1,0,1,0,0,0,13.7,False
False,16,7,I,14,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,160.3,True
False,16,7,C,31,0.0,8,2,0,0,1.0,LP,1,1,0,1,1,0,2.3,True
False,16,7,I,45,0.0,38,3,0,0,1.0,LPDIV,1,2,0,1,1,1,7.7,False
False,16,7,I,104,0.0,4,4,0,0,0.667,LPDIV,1,3,0,2,1,1,19.0,True
False,16,7,I,75,0.0,13,5,0,0,0.75,LPDIV,1,4,0,3,1,1,7.2,False
False,25,8,C,31,0.0,12,1,0,0,0.0,SYNC,1,0,1,0,0,0,161.5,True
False,25,8,I,123,0.0,96,2,0,0,1.0,DIV,1,1,1,0,0,1,31.8,True
False,20,7,C,400,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,601.9,True
False,20,7,C,558,0.0,8,2,0,0,1.0,SYNC,2,0,2,0,0,0,191.1,True
False,20,7,I,177,0.0,40,3,0,0,1.0,DIV,2,1,2,0,0,1,21.3,True
False,62,7,I,400,0.0,26,1,0,0,0.0,INC,0,1,0,1,0,0,601.9,True
False,62,7,I,558,0.0,41,2,0,0,1.0,INC,0,2,0,2,0,0,191.1,True
False,62,7,I,177,0.0,135,3,0,0,1.0,INC,0,3,0,3,0,0,21.3,True
False,18,7,I,18,0.0,33,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,18,7,I,18,0.0,33,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
