signature,size,buggy_gen,state+fault,interval,commits,churn
src_new/org/argouml/uml/diagram/use_case/ui/FigExtend.java^98^133+src_new/org/argouml/uml/diagram/use_case/ui/FigInclude.java^98^131,36,True,I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_Y^I_Y^I_Y^I_Y^I_N,M_Y^Y_Y^Y_Y^Y_N^YY_Y^Y_Y^Y_Y^Y_Y^Y_Y^Y_Y^YY_N,abc4208^2ffc41c^05b25a8^125dfcf^c7b74e7^1328164^2ba40e0^55b1a2b^c899055^cb4d650^f5936f9^0b00e53,55^6^8^2^56^2^12^60^6^7^3
src_new/org/argouml/uml/ColumnDescriptor.java^1138^1164+src_new/org/argouml/uml/diagram/deployment/ui/PropPanelComponentInstance.java^156^182,27,False,I_N,M_N,9ac1348^c413fa0,27
src_new/org/argouml/language/java/generator/JavaLexer.java^1097^1132+src_new/org/argouml/language/java/generator/JavaLexer.java^1165^1201,37,False,I_N,Y_N,02d2e18^8038b1a,20
src_new/org/argouml/uml/ui/foundation/core/PropPanelClassifier.java^88^91+src_new/org/argouml/uml/ui/foundation/core/PropPanelDataType.java^70^73,4,True,I_Y,W_Y,eaf8a0b^ceb805f,4
src/uci/uml/ui/todo/ToDoPerspective.java^172^189+src_new/org/argouml/ui/NavPerspective.java^417^434,18,True,I_Y,YY_Y,9aee2ae^28d9dfb,8
src_new/org/argouml/uml/ui/behavior/collaborations/PropPanelAssociationRole.java^61^67+src_new/org/argouml/uml/ui/model_management/PropPanelPackage.java^91^97,7,True,I_Y^I_Y^I_Y^I_Y^I_Y^I_Y^I_N^I_Y^I_N,Y_Y^Y_Y^YY_Y^Y_Y^Y_Y^Y_Y^Y_N^W_Y^D_N,1a996c3^db19670^2ee5cad^0fb23e0^4d8767c^69baaad^4f64200^e7917ab^4aa6328^4c394ca,16^10^8^8^12^2^2^2^6
src/uci/uml/ui/props/PropPanelDiagram.java^60^85+src_new/org/argouml/uml/diagram/ui/PropPanelDiagram.java^57^84,28,True,I_Y^I_Y,Y_Y^Y_Y,1362835^e2038ab^2ee5cad,2^28
src/uci/uml/ui/PropPanelAttr.java^95^138+src/uci/uml/ui/PropPanelClass.java^97^140,44,False,I_N,Y_N,896349a^bfc0613,9
src_new/org/argouml/uml/ui/ActionNew.java^70^102+src_new/org/argouml/uml/ui/ActionOpenProject.java^90^126,37,True,I_Y^I_Y,Y_Y^D_Y,740d179^4333e18^3dc5d77,24^33
src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLCallActionOperationComboBox.java^65^79+src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLCallEventOperationComboBox.java^53^67,15,True,I_Y^I_N^I_N,W_Y^D_N^D_N,d3bffac^7d606f1^a5da582^a1c9f61,6^4^15
src_new/org/argouml/uml/ui/behavior/activity_graphs/PropPanelCallState.java^73^92+src_new/org/argouml/uml/ui/behavior/state_machines/PropPanelCompositeState.java^70^92,23,True,I_Y^I_Y^I_Y,W_Y^YY_Y^Y_Y,005da07^30b6f6f^538185b^403acfc,8^16^27
src_new/org/argouml/uml/ui/behavior/activity_graphs/PropPanelActionState.java^58^73+src_new/org/argouml/uml/ui/behavior/collaborations/PropPanelMessage.java^52^68,17,True,C_Y^C_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_N^I_N^I_Y^I_Y^I_N^I_Y^I_Y^I_N^I_N^I_Y^I_N^I_Y^I_Y^I_Y^I_Y^I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_Y^I_Y,Y_Y^Y_Y^Y_Y^YY_Y^Y_N^Y_Y^Y_Y^M_Y^M_N^W_Y^W_Y^M_N^D_N^W_Y^Y_Y^Y_N^M_Y^D_Y^D_N^Y_N^Y_Y^W_N^Y_Y^M_Y^W_Y^Y_Y^M_Y^M_Y^D_Y^Y_N^M_Y^M_Y^Y_Y^Y_Y,db323cc^28e35ce^db19670^2ee5cad^0fb23e0^ce70ef5^24ea745^4f64200^c639744^e7917ab^4aa6328^5074134^0cf9160^ae0ecf9^74ef61a^bf8a4cd^0e10ad7^ca3bcb5^180aae2^77a21aa^d333df3^6c717e9^df5f324^ed670c5^4f82f75^c26457a^ddc462b^b4c883a^8af0230^8fc2839^e83b3d1^2ba40e0^dd2f656^c1d2bad^d3156a6,6^16^46^14^13^1^2^12^6^6^12^3^3^4^6^2^53^31^2^6^26^2^18^19^2^18^2^24^5^8^6^1^4^39
src_new/org/argouml/uml/diagram/sequence/ui/SelectionSeqObject.java^161^178+src_new/org/argouml/uml/diagram/static_structure/ui/SelectionInterface.java^121^137,18,True,I_Y,D_Y,b7e3a84^f116eaf,2
src/argouml-app/src/org/argouml/cognitive/ui/ToDoByDecision.java^75^103+src/argouml-app/src/org/argouml/cognitive/ui/ToDoByDecision.java^112^140,29,False,I_N,YY_N,4e0fe00^820ac8e,4
src_new/org/argouml/uml/notation/uml/NotationUtilityUml.java^952^970+src_new/org/argouml/uml/notation/uml/TransitionNotationUml.java^599^619,21,False,I_Y,Y_Y,cd98824^2c19316,4
src/argouml-app/src/org/argouml/uml/diagram/ui/FigAssociation.java^118^141+src/argouml-app/src/org/argouml/uml/diagram/ui/FigAssociation.java^147^171,25,False,I_N,D_N,07d1711^f3ac520,49
src_new/org/argouml/uml/diagram/static_structure/ui/FigNote.java^266^287+src_new/org/argouml/uml/diagram/ui/FigNodeModelElement.java^344^366,23,True,I_Y,M_Y,0ae9e20^69baaad,6
tests/org/argouml/uml/ui/behavior/use_cases/TestUMLExtendExtensionComboBoxModel.java^54^66+tests/org/argouml/uml/ui/behavior/use_cases/TestUMLIncludeBaseComboBoxModel.java^54^66,13,False,I_N,Y_N,ec85735^431f36e,2
src/argouml-app/src/org/argouml/uml/diagram/static_structure/ui/ClassDiagramRenderer.java^220^283+src/argouml-core-diagrams-uml2/src/org/argouml/diagram/uml2/StructureDiagram2Renderer.java^196^259,64,True,I_Y,M_Y,52d8160^6880e7c,71
src_new/org/argouml/uml/ui/behavior/use_cases/PropPanelActor.java^72^97+src_new/org/argouml/uml/ui/foundation/core/PropPanelAssociation.java^58^78,26,True,I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_Y^I_Y^I_Y^I_Y^I_Y^I_N^I_Y^I_N^I_Y^I_N^I_Y^I_Y^I_Y^I_Y,M_Y^D_Y^W_Y^M_N^Y_Y^Y_Y^M_Y^Y_Y^W_N^D_Y^W_Y^Y_Y^D_Y^Y_Y^D_Y^Y_Y^M_N^M_Y^W_N^Y_Y^Y_N^Y_Y^Y_Y^YY_Y^Y_Y,9be486d^fe1a4c9^4231951^bf8a4cd^f9dd7f4^ca3bcb5^6c717e9^fed664a^ed670c5^16eccbb^096be07^4f82f75^c678a67^ddc462b^8af0230^8fc2839^472e565^3a66335^2ba40e0^34c5050^c1d2bad^32b6b14^b1ae4ea^30b6f6f^538185b^403acfc,6^4^30^4^29^28^1^6^3^2^29^24^6^26^6^4^2^10^2^8^3^2^13^21^31
modules/java_rte/src/org/argouml/language/java/ui/SynchronizeDialog.java^146^167+modules/java_rte/src/org/argouml/language/java/ui/SynchronizeDialog.java^201^223,23,False,I_Y,Y_Y,78c099b^2ba40e0,10
src/uci/uml/ui/todo/WizStepManyTextFields.java^56^76+src/uci/uml/ui/todo/WizStepTextField.java^55^75,21,False,C_N,D_N,2631953^0ce4d83,8
src/argouml-app/src/org/argouml/uml/ui/behavior/activity_graphs/UMLCallStateEntryList.java^72^90+src/argouml-app/src/org/argouml/uml/ui/behavior/common_behavior/PropPanelActionSequence.java^228^247,20,False,C_N,YY_N,559aca3^60475a5,20
src_new/org/argouml/uml/ui/foundation/core/PropPanelGeneralization.java^64^75+src_new/org/argouml/uml/ui/foundation/core/PropPanelParameter.java^60^72,13,True,I_Y^I_N,M_Y^Y_N,5074134^74ef61a^47b3714,4^14
src_new/org/argouml/uml/diagram/state/ui/SelectionState.java^102^117+src_new/org/argouml/uml/diagram/static_structure/ui/SelectionStereotype.java^98^113,16,True,I_Y,Y_Y,384e49a^4aca95c,32
src/argouml-app/src/org/argouml/uml/diagram/ui/FigEdgeAssociationClass.java^158^181+src/argouml-core-diagrams-structure2/src/org/argouml/structure2/diagram/FigEdgeAssociationClass2.java^160^183,24,False,I_N,W_N,5fa9dca^fbe5ebe,24
src/argouml-app/src/org/argouml/uml/diagram/collaboration/ui/UMLCollaborationDiagram.java^592^609+src/argouml-core-diagrams-sequence2/src/org/argouml/sequence2/diagram/UMLSequenceDiagram.java^312^331,20,False,I_N,YY_N,f645d90^820ac8e,21
src_new/org/argouml/uml/diagram/ui/PropPanelDiagram.java^55^68+src_new/org/argouml/uml/ui/foundation/core/PropPanelParameter.java^85^98,14,True,I_Y,Y_Y,e2038ab^2ee5cad,36
src/uci/uml/visual/FigClass.java^251^271+src_new/org/argouml/uml/diagram/static_structure/ui/FigPackage.java^144^164,21,True,I_Y^I_Y^I_N,Y_Y^Y_Y^Y_N,9ac1348^2a1537f^ea0f4a8^a350614,10^2^2
src_new/org/argouml/uml/ui/ActionExit.java^76^104+src_new/org/argouml/uml/ui/ActionReopenProject.java^84^119,36,True,I_Y^I_N^I_Y^I_Y^I_Y^I_N^I_Y,Y_Y^M_N^W_Y^M_Y^W_Y^D_N^Y_Y,740d179^3dc5d77^dcd705e^6b7582a^2ba40e0^079270e^cea8da9^1145b8b,4^4^2^20^11^2^4
src/argouml-app/src/org/argouml/persistence/OldZargoFilePersister.java^117^148+src/argouml-app/src/org/argouml/persistence/UmlFilePersister.java^151^180,32,False,I_N,Y_N,14b854b^820ac8e,8
src/argouml-app/tests/org/argouml/uml/diagram/sequence/ui/TestUMLSequenceDiagram.java^64^76+src/argouml-app/tests/org/argouml/uml/diagram/ui/TestTabDiagram.java^80^92,13,False,I_N,M_N,19694f2^e1e1b3b,1
src_new/org/argouml/ui/CmdCreateNode.java^205^220+src_new/org/argouml/ui/CmdCreateNode.java^221^236,16,False,I_N,D_N,8e47325^7e01ae9,32
src_new/org/argouml/uml/cognitive/checklist/ChLink.java^46^78+src_new/org/argouml/uml/cognitive/checklist/ChUseCase.java^46^78,33,True,I_Y,YY_Y,a5530f0^ca3bcb5,108
src/argouml-app/src/org/argouml/uml/cognitive/critics/CrNoAssociations.java^81^106+src/argouml-app/src/org/argouml/uml/cognitive/critics/CrNoOperations.java^75^95,26,False,C_N,M_N,24b53de^07197ec,2
src/argouml-core-diagrams-activity2/src/org/argouml/activity2/diagram/UMLActivityDiagram.java^174^182+src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/model/MetaDataCache.java^55^63,9,False,I_N,M_N,31d5a1e^13e8c4e,9
src_new/org/argouml/uml/ui/behavior/activity_graphs/PropPanelActionState.java^60^71+src_new/org/argouml/uml/ui/foundation/core/PropPanelDataType.java^58^70,13,True,I_Y^I_Y^I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_Y^I_Y^I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_N^I_Y^I_Y^I_N^I_Y^I_Y,W_Y^Y_Y^M_Y^M_Y^M_Y^Y_N^D_Y^Y_Y^D_Y^Y_N^Y_Y^D_Y^Y_Y^Y_Y^W_N^D_Y^W_Y^W_Y^Y_Y^M_Y^M_Y^D_Y^M_N^Y_Y^Y_Y^Y_N^M_Y^M_Y^M_N^Y_Y^YY_Y,f6655ef^061381a^4f64200^c639744^5074134^74ef61a^617fa2c^bf8a4cd^ca3bcb5^180aae2^d333df3^6c717e9^3b460ba^3e69d1b^ed670c5^4427c00^096be07^4f82f75^c26457a^ddc462b^b4c883a^8af0230^8fc2839^e6c8981^2ba40e0^c1d2bad^da9a48a^00d3691^b1ae4ea^ad0f8ae^30b6f6f^403acfc,2^2^16^12^4^18^6^2^12^2^14^10^28^29^3^5^26^2^8^5^30^8^4^2^6^6^3^4^2^10^11
src/argouml-app/src/org/argouml/uml/diagram/deployment/ui/DeploymentDiagramRenderer.java^122^139+src/argouml-app/src/org/argouml/uml/diagram/deployment/ui/DeploymentDiagramRenderer.java^139^156,18,False,I_N,YY_N,a32f159^820ac8e,12
src_new/org/argouml/uml/diagram/state/ui/FigConcurrentRegion.java^451^468+src_new/org/argouml/uml/diagram/state/ui/FigSimpleState.java^241^257,18,True,I_Y,Y_Y,a7972ca^2d84f11,35
src_new/org/argouml/uml/ColumnDescriptor.java^1287^1317+src_new/org/argouml/uml/diagram/deployment/ui/PropPanelNodeInstance.java^137^167,31,False,I_N,M_N,9ac1348^c413fa0,31
src_new/org/argouml/uml/diagram/state/ui/FigBranchState.java^83^107+src_new/org/argouml/uml/diagram/state/ui/FigJunctionState.java^60^80,25,True,I_Y^I_Y^I_Y^I_Y^I_N^I_N^I_Y^I_N,M_Y^M_Y^M_Y^Y_Y^Y_N^Y_N^Y_Y^Y_N,0ece577^c76d467^75132fb^955461f^2ba40e0^4b064ac^cde029c^3e35a5e^5c8141a,8^12^15^6^1^1^2^16
src/argouml-app/src/org/argouml/uml/ui/TabStereotype.java^301^329+src/argouml-app/src/org/argouml/uml/ui/UMLStereotypeListModel.java^433^463,31,False,I_N,YY_N,07197ec^78ecc51,31
src/argouml-app/tests/org/argouml/uml/ui/TestActionCollaborationDiagram.java^151^170+src/argouml-app/tests/org/argouml/uml/ui/TestActionStateDiagram.java^149^168,20,False,I_N,Y_N,559aca3^7c10ac2,40
src_new/org/argouml/uml/diagram/state/ui/FigDeepHistoryState.java^68^83+src_new/org/argouml/uml/diagram/state/ui/FigShallowHistoryState.java^69^84,16,True,I_Y^I_Y,D_Y^Y_Y,f74f25b^8293073^2ba40e0,32^2
src_new/org/argouml/uml/ui/behavior/common_behavior/PropPanelSignal.java^107^120+src_new/org/argouml/uml/ui/foundation/extension_mechanisms/PropPanelStereotype.java^82^94,14,True,I_Y,Y_Y,736a424^2ee5cad,24
src_new/org/argouml/uml/ui/foundation/core/UMLClassAttributeListModel.java^68^79+src_new/org/argouml/uml/ui/foundation/core/UMLClassifierFeatureListModel.java^67^78,12,False,I_N^I_N^I_N^I_Y,YY_N^D_N^Y_N^W_Y,29a49c4^712e968^856453b^8420fd2^c22ee20,12^6^17^5
src_new/org/argouml/uml/cognitive/critics/CrInvalidBranch.java^70^85+src_new/org/argouml/uml/cognitive/critics/CrInvalidJoin.java^56^70,16,True,I_Y^I_N,Y_Y^YY_N,1e47943^44edc52^69042ec,2^9
tests/org/argouml/model/uml/TestCoreFactory.java^220^234+tests/org/argouml/model/uml/TestCoreFactory.java^241^255,15,False,C_N,D_N,eb54e17^432f4ce,3
src_new/org/argouml/uml/diagram/activity/ui/FigActionState.java^157^167+src_new/org/argouml/uml/diagram/activity/ui/FigSubactivityState.java^178^188,11,True,I_N^I_Y,Y_N^Y_Y,1cff6a2^d9eba01^cf55808,7^4
src_new/org/argouml/uml/ui/behavior/use_cases/PropPanelExtensionPoint.java^78^93+src_new/org/argouml/uml/ui/foundation/core/PropPanelDataType.java^57^67,16,True,I_Y^I_Y^I_Y^I_N,Y_Y^W_Y^Y_Y^Y_N,9d404ad^f6655ef^061381a^4f64200^2804daa,9^2^2^2
src/argouml-app/src/org/argouml/uml/diagram/ui/FigNodeModelElement.java^1017^1033+src/argouml-app/src/org/argouml/uml/ui/UMLComboBoxModel2.java^156^172,17,False,I_N^I_N,W_N^YY_N,1ad0ed4^22a3510^820ac8e,8^20
src/uci/uml/critics/ChildGenUML.java^78^108+src/uci/uml/ui/ChildGenFind.java^60^119,60,False,I_N^I_N,M_N^M_N,bc8578f^cc49518^199aa5d,2^4
src/uci/uml/visual/SelectionInterface.java^107^123+src_new/org/argouml/uml/diagram/static_structure/ui/SelectionInterface.java^106^122,17,False,C_N,Y_N,9ac1348^31425cb,2
src_new/org/argouml/uml/ui/UMLBinaryRelationListModel.java^156^174+src_new/org/argouml/uml/ui/behavior/collaborations/UMLClassifierRoleAvailableContentsListModel.java^48^65,19,True,I_Y^I_Y^I_N^I_Y^I_Y^I_Y^I_N^I_Y^I_Y^I_N^I_N^I_Y^I_Y,M_Y^M_Y^W_N^Y_Y^Y_Y^D_Y^Y_N^M_Y^W_Y^Y_N^M_N^Y_Y^M_Y,05b25a8^69baaad^f2d5044^6143add^46f4bc9^ca3bcb5^180aae2^fd12360^7a3b40d^4e34f59^db305cd^d099086^e44ce7e^cbf4239,213^14^2^11^18^6^2^12^2^2^8^10^8
