CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy
False,23,4,C,6,0.0,8,1,0,0,0.0,SYNC,1,0,1,0,0,0,16.0,False
False,23,4,C,29,0.0,4,2,0,0,0.0,SYNC,2,0,2,0,0,0,61.0,False
False,23,4,I,34,0.0,4,3,0,0,0.0,DIV,2,1,2,0,0,1,4.1,False
False,13,4,C,34,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,81.1,False
False,13,4,C,58,0.0,8,2,0,0,0.0,SYNC,2,0,2,0,0,0,66.9,False
False,8,3,I,8,0.0,8,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,18,5,I,19,0.0,11,1,0,0,0.0,INC,0,1,0,1,0,0,3.9,False
False,18,5,I,71,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,114.0,False
False,12,5,I,14,0.0,16,1,1,1,0.0,INC,0,1,0,1,0,0,0.0,False
False,12,5,I,17,0.0,33,2,1,1,0.0,INC,0,2,0,2,0,0,4.1,False
False,19,2,I,22,0.0,8,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,19,2,I,29,0.0,17,2,0,0,0.0,INC,0,2,0,2,0,0,19.0,False
False,21,2,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,35.0,False
False,23,2,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,35.0,False
False,23,2,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,35.0,False
False,23,2,I,34,0.0,4,2,0,0,0.0,DIV,1,1,1,0,0,1,4.1,False
False,23,2,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,35.0,False
False,23,2,I,34,0.0,4,2,0,0,0.0,DIV,1,1,1,0,0,1,4.1,False
False,16,2,I,22,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,21,2,I,105,0.0,6,1,0,0,0.0,INC,0,1,0,1,0,0,297.1,False
False,21,2,I,110,0.0,25,2,0,0,0.0,INC,0,2,0,2,0,0,49.8,False
False,14,2,I,22,0.0,14,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,17,2,I,22,0.0,17,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,15,2,I,22,0.0,17,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,15,2,I,23,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,1.1,False
False,15,2,I,29,0.0,12,3,0,0,0.0,INC,0,3,0,3,0,0,17.9,False
False,15,2,I,34,0.0,2,4,0,0,0.0,INC,0,4,0,4,0,0,4.1,False
False,15,2,I,43,0.0,2,5,0,0,0.0,INC,0,5,0,5,0,0,3.1,False
False,15,2,I,97,0.0,2,6,0,0,0.0,INC,0,6,0,6,0,0,196.8,False
False,15,2,I,104,0.0,10,7,0,0,0.0,INC,0,7,0,7,0,0,40.8,False
False,15,2,I,105,0.0,8,8,0,0,0.0,INC,0,8,0,8,0,0,17.3,False
False,16,2,I,29,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,35.0,False
False,35,2,I,22,0.0,64,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,35,2,I,29,0.0,54,2,0,0,0.0,INC,0,2,0,2,0,0,19.0,False
False,35,2,I,34,0.0,3,3,0,0,0.0,INC,0,3,0,3,0,0,4.1,False
False,35,2,I,43,0.0,4,4,0,0,0.0,INC,0,4,0,4,0,0,3.1,False
False,15,2,I,22,0.0,20,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,15,2,I,29,0.0,5,2,0,0,0.0,INC,0,2,0,2,0,0,19.0,False
False,15,2,I,34,0.0,2,3,0,0,0.0,INC,0,3,0,3,0,0,4.1,False
False,11,5,I,17,0.0,33,1,0,0,0.0,INC,0,1,0,1,0,0,4.1,False
False,11,5,I,23,0.0,37,2,0,0,0.0,INC,0,2,0,2,0,0,13.0,False
False,22,5,C,71,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,114.0,False
False,15,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,15,4,I,22,0.0,10,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,15,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,15,4,I,22,0.0,10,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,15,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,15,4,I,22,0.0,10,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,15,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,15,4,I,22,0.0,10,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,15,5,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,15,5,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,15,5,I,22,0.0,10,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,15,5,I,46,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,29.1,False
False,15,5,I,22,0.0,10,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,15,5,I,22,0.0,10,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,18,4,C,46,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,I,22,0.0,10,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,18,4,I,46,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,29.1,False
False,13,4,I,22,0.0,26,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,13,5,I,22,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,13,4,I,22,0.0,26,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,13,4,I,22,0.0,31,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,13,4,I,22,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,13,4,C,22,0.0,27,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,13,4,I,22,0.0,32,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,13,5,I,22,0.0,26,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,13,5,I,22,0.0,31,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,13,5,I,22,0.0,31,1,0,0,0.0,INC,0,1,0,1,0,0,5.8,False
False,15,2,I,29,0.0,13,1,0,0,0.0,INC,0,1,0,1,0,0,19.0,False
False,21,2,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,19.0,False
False,13,4,C,29,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,19.0,False
False,13,4,C,107,0.0,5,2,0,0,0.0,SYNC,2,0,2,0,0,0,298.2,False
False,13,4,I,29,0.0,13,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,17,4,I,51,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,53.8,False
False,17,4,I,133,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,335.2,False
False,14,4,C,133,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,389.0,False
False,27,4,I,29,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,27,4,I,29,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,27,4,I,29,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,27,4,I,29,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,27,4,I,29,0.0,27,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,22,4,I,29,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,22,4,I,29,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,22,4,I,29,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,22,4,I,29,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,22,4,I,29,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,25,4,I,29,0.0,25,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,25,4,I,29,0.0,25,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,25,4,I,29,0.0,25,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,25,4,I,29,0.0,25,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,25,4,I,29,0.0,25,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
False,14,4,I,29,0.0,14,1,0,0,0.0,INC,0,1,0,1,0,0,17.9,False
