CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy
False,32,4,I,207,0.0,2,1,1,1,0.0,INC,0,1,0,1,0,0,0.2,False
True,31,5,I,9,1.0,11,1,0,0,0.0,INC,0,1,0,1,0,0,22.0,False
False,21,5,C,15,0.0,8,1,1,1,0.0,SYNC,1,0,1,0,0,0,0.0,False
False,21,6,I,2466,0.0,13,1,0,0,0.0,INC,0,1,0,1,0,0,1.6,True
False,21,6,I,1187,0.0,13,2,1,1,1.0,INC,0,2,0,2,0,0,0.0,False
False,21,6,I,1191,0.0,1,3,1,1,0.5,INC,0,3,0,3,0,0,41.3,False
False,21,6,I,2470,0.0,1,4,2,1,0.333,INC,0,4,0,4,0,0,0.0,False
False,21,6,I,2475,0.0,37,5,2,1,0.25,INC,0,5,0,5,0,0,12.9,True
False,21,6,I,1198,0.0,6,6,3,1,0.4,INC,0,6,0,6,0,0,0.8,False
False,24,0,I,13,0.0,11,1,0,0,0.0,INC,0,1,0,1,0,0,97.0,False
False,23,5,C,91,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,177.4,False
False,13,5,I,181,0.0,13,1,0,0,0.0,INC,0,1,0,1,0,0,2.0,False
False,27,4,I,30,0.0,44,1,0,0,0.0,INC,0,1,0,1,0,0,33.8,True
False,27,4,I,6,0.0,10,2,1,1,1.0,INC,0,2,0,2,0,0,0.0,False
False,28,4,I,30,0.0,45,1,0,0,0.0,INC,0,1,0,1,0,0,33.8,True
False,28,4,I,6,0.0,10,2,1,1,1.0,INC,0,2,0,2,0,0,0.0,False
False,16,5,I,154,0.0,21,1,0,0,0.0,INC,0,1,0,1,0,0,2247.5,False
False,16,5,I,45,0.0,3,2,0,0,0.0,INC,0,2,0,2,0,0,54.5,False
False,16,5,I,46,0.0,3,3,1,1,0.0,INC,0,3,0,3,0,0,0.0,False
False,16,5,I,811,0.0,7,4,1,1,0.0,INC,0,4,0,4,0,0,20.5,False
False,16,5,I,195,0.0,1,5,1,1,0.0,INC,0,5,0,5,0,0,13.5,False
False,16,5,I,853,0.0,8,6,1,1,0.0,INC,0,6,0,6,0,0,140.1,False
False,16,5,I,23,0.0,8,7,1,1,0.0,INC,0,7,0,7,0,0,759.4,False
False,14,5,C,172,0.0,2,1,1,1,0.0,SYNC,1,0,1,0,0,0,0.7,False
False,14,5,I,181,0.0,12,2,1,1,0.0,DIV,1,1,1,0,0,1,1.3,False
False,25,6,I,1591,0.0,9,1,1,1,0.0,INC,0,1,0,1,0,0,0.0,False
False,25,6,I,1594,0.0,7,2,1,2,0.0,INC,0,2,0,2,0,0,1.0,False
False,25,6,I,1595,0.0,6,3,2,1,0.0,INC,0,3,0,3,0,0,0.0,False
False,25,6,I,1596,0.0,15,4,2,2,0.0,INC,0,4,0,4,0,0,0.9,True
False,22,5,I,89,0.0,2,1,1,1,0.0,INC,0,1,0,1,0,0,0.0,False
False,22,5,I,1390,0.0,4,2,1,1,0.0,INC,0,2,0,2,0,0,28.2,False
False,22,5,I,1391,0.0,8,3,2,1,0.0,INC,0,3,0,3,0,0,0.8,False
False,22,5,I,116,0.0,14,4,3,1,0.0,INC,0,4,0,4,0,0,1.0,False
False,22,5,I,1410,0.0,5,5,3,1,0.0,INC,0,5,0,5,0,0,12.3,False
False,22,5,I,131,0.0,7,6,4,1,0.0,INC,0,6,0,6,0,0,0.0,False
False,21,4,I,91,0.0,4,1,0,0,0.0,INC,0,1,0,1,0,0,177.4,False
False,11,4,I,181,0.0,15,1,0,0,0.0,INC,0,1,0,1,0,0,2.0,False
False,27,5,I,53,0.0,14,1,1,1,0.0,INC,0,1,0,1,0,0,0.0,False
False,15,5,C,15,0.0,2,1,1,1,0.0,SYNC,1,0,1,0,0,0,0.0,False
False,19,1,I,98,0.0,38,1,0,0,0.0,INC,0,1,0,1,0,0,394.0,False
False,19,1,I,98,0.0,38,1,0,0,0.0,INC,0,1,0,1,0,0,394.0,False
False,24,6,I,1427,0.0,13,1,1,1,0.0,INC,0,1,0,1,0,0,0.0,False
False,24,6,I,150,0.0,12,2,1,2,0.0,INC,0,2,0,2,0,0,0.0,False
False,24,6,I,1429,0.0,10,3,1,3,0.0,INC,0,3,0,3,0,0,0.0,False
False,41,5,I,170,0.0,15,1,0,0,0.0,INC,0,1,0,1,0,0,133.4,False
False,41,5,I,172,0.0,4,2,1,1,0.0,INC,0,2,0,2,0,0,0.7,False
False,41,5,I,180,0.0,13,3,1,1,0.0,INC,0,3,0,3,0,0,1.1,False
False,41,5,I,181,0.0,14,4,2,1,0.0,INC,0,4,0,4,0,0,0.2,False
False,41,5,I,91,0.0,4,5,2,1,0.0,INC,0,5,0,5,0,0,177.4,False
