signature,size,buggy_gen,state+fault,interval,commits,churn
maven-core-it-verifier/src/main/java/org/apache/maven/it/Verifier.java^125^146+maven-mboot/src/main/Bootstrapper.java^361^382,22,False,C_N^C_N,Y_N^Y_N,240aaec^984d464^fe59dcf,2^5
maven-core-it-verifier/src/main/java/org/apache/maven/it/Verifier.java^132^153+maven-mboot2/src/main/java/StringUtils.java^113^134,22,True,C_N^C_N^I_N^I_Y,Y_N^Y_N^Y_N^M_Y,65a5fee^984d464^fe59dcf^b748d06^b48dce7,2^5^2^27
maven-mboot2/src/main/java/JarMojo.java^62^89+maven-plugins/maven-jar-plugin/src/main/java/org/apache/maven/plugin/jar/AbstractJarMojo.java^122^148,28,True,C_N^I_Y,M_N^Y_Y,65a5fee^d83868e^f793423,11^38
maven-mboot2/src/main/java/SurefirePlugin.java^15^34+maven-plugins/maven-surefire-plugin/src/main/java/org/apache/maven/test/SurefirePlugin.java^105^124,20,True,C_Y^I_N^I_N^I_N^I_N^I_Y^I_N^I_Y^I_Y^I_N^I_N^I_Y^I_N^I_N^I_Y^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_Y^I_Y^I_N^I_Y^I_N^I_N^I_N^I_N,Y_Y^M_N^D_N^D_N^M_N^Y_Y^Y_N^W_Y^W_Y^W_N^M_N^M_Y^M_N^D_N^Y_Y^W_N^M_N^D_N^D_N^M_N^W_N^D_N^M_N^M_N^W_N^D_Y^D_Y^D_N^M_Y^D_N^D_N^D_N^D_N,65a5fee^c13e8c7^c0a6388^ba64bcb^530df30^bdcd067^f32e88a^6c36fe6^a44b6f9^4d1ca8d^c5d7cd8^baca1f7^a58632b^f0248e0^f9360a1^01e6c8d^70a13f3^d56d3de^f0c1975^ca13758^59128be^3c46080^4e79a1a^3b1f894^9262d51^4aaabdb^5ec721c^ebc406a^f86c481^f685d86^9ad0867^aaae013^28e2b08^5071fe6,1^48^2^2^2^5^7^21^3^10^21^2^9^13^15^9^6^2^2^10^4^5^1^4^2^10^18^4^16^2^19^8^17
maven-mboot/src/main/Bootstrapper.java^456^480+maven-mboot2/src/main/java/MBoot.java^779^803,25,True,I_Y^I_N,Y_Y^Y_N,65a5fee^c13e8c7^6aed331,8^7
maven-mboot/src/main/Bootstrapper.java^525^627+maven-mboot2/src/main/java/MBoot.java^847^949,103,True,I_Y^C_N,Y_Y^Y_N,65a5fee^c13e8c7^6aed331,4^4
maven-mboot/src/main/ArtifactDownloader.java^31^64+maven-mboot2/src/main/java/ArtifactDownloader.java^32^65,34,True,I_N^I_N^I_Y,D_N^M_N^M_Y,65a5fee^9e663f0^03d569d^c13e8c7,10^6^16
maven-mboot/src/main/ArtifactDownloader.java^81^120+maven-mboot2/src/main/java/ArtifactDownloader.java^82^121,40,True,C_N^I_Y,D_N^Y_Y,65a5fee^4381911^c13e8c7,38^47
maven-mboot/src/main/ArtifactDownloader.java^144^215+maven-mboot2/src/main/java/ArtifactDownloader.java^145^216,72,True,I_Y,Y_Y,65a5fee^c13e8c7,11
maven-mboot/src/main/ArtifactDownloader.java^31^59+maven-mboot2/src/main/java/ArtifactDownloader.java^34^58,29,True,C_N^I_Y,M_N^M_Y,9e663f0^03d569d^c13e8c7,6^13
