CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy
False,22,0,C,18,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,78.1,False
False,22,0,C,421,0.0,5,2,0,0,0.0,SYNC,2,0,2,0,0,0,92.3,False
False,22,0,C,18,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,39.7,False
False,22,0,C,421,0.0,5,2,0,0,0.0,SYNC,2,0,2,0,0,0,92.3,False
False,22,0,I,85,0.0,2,3,0,0,0.0,DIV,2,1,2,0,0,1,95.6,False
False,22,0,I,353,0.0,27,4,0,0,0.0,DIV,2,2,2,1,0,1,24.5,True
False,28,0,C,279,0.0,11,1,0,0,0.0,SYNC,1,0,1,0,0,0,14.6,False
False,28,0,I,111,0.0,38,2,0,0,0.0,DIV,1,1,1,0,0,1,201.9,True
False,20,0,C,26,0.0,1,1,0,0,0.0,SYNC,1,0,1,0,0,0,38.4,True
False,20,0,I,357,0.0,48,2,0,0,1.0,DIV,1,1,1,0,0,1,17.6,False
False,20,0,I,360,0.0,2,3,1,1,0.5,DIV,1,2,1,1,0,1,0.0,False
False,20,0,I,362,0.0,2,4,1,2,0.333,DIV,1,3,1,2,0,1,0.0,False
False,20,0,I,378,0.0,2,5,1,2,0.25,DIV,1,4,1,3,0,1,10.5,False
False,20,0,I,50,0.0,5,6,1,2,0.2,DIV,1,5,1,4,0,1,34.3,True
False,20,0,I,152,0.0,7,7,1,2,0.333,DIV,1,6,1,5,0,1,123.4,False
False,20,0,I,182,0.0,21,8,1,2,0.286,DIV,1,7,1,6,0,1,2.7,True
False,20,0,I,91,0.0,3,9,1,2,0.375,DIV,1,8,1,7,0,1,5.8,True
False,20,0,I,273,0.0,10,10,1,2,0.444,DIV,1,9,1,8,0,1,6.7,False
False,20,0,I,346,0.0,21,11,1,2,0.4,DIV,1,10,1,9,0,1,12.6,False
False,20,0,I,166,0.0,2,12,1,2,0.364,DIV,1,11,1,10,0,1,24.9,True
False,20,0,I,661,0.0,9,13,1,2,0.417,DIV,1,12,1,11,0,1,11.7,False
False,20,0,I,662,0.0,13,14,2,1,0.385,DIV,1,13,1,12,0,1,0.0,False
