signature,size,buggy_gen,state+fault,interval,commits,churn
proposal/myrmidon/src/main/org/apache/tools/ant/types/Path.java^237^262+proposal/myrmidon/src/todo/org/apache/tools/ant/types/Path.java^237^262,26,False,I_N,M_N,17997f2^36a0800,6
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/PropertyFile.java^242^291+src/main/org/apache/tools/ant/taskdefs/optional/PropertyFile.java^271^307,50,True,I_Y,Y_Y,bc4fa10^6cbeee3,6
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java^260^312+proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java^260^312,53,False,I_N,W_N,598017b^7fb3592,2
proposal/myrmidon/src/java/org/apache/aut/tar/TarBuffer.java^262^294+proposal/myrmidon/src/java/org/apache/aut/tar/TarBuffer.java^304^336,33,False,C_N,M_N,ee6f20f^0b93bdd,76
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/exec/ExecuteWatchdog.java^172^189+src/main/org/apache/tools/ant/taskdefs/ExecuteWatchdog.java^111^125,18,False,I_N,W_N,45989d1^007e5e2,10
src/tests/junit/org/apache/tools/ant/util/VectorSetTest.java^111^122+src/tests/junit/org/apache/tools/ant/util/VectorSetTest.java^207^218,12,False,I_N,Y_N,5bc13a2^1ae6809,24
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/Cab.java^193^206+src/main/org/apache/tools/ant/taskdefs/optional/Cab.java^173^183,14,True,I_Y,M_Y,e0f1ffa^2737393,2
src/testcases/org/apache/tools/ant/taskdefs/FixCrLfTest.java^190^216+src/testcases/org/apache/tools/ant/taskdefs/ReplaceTest.java^81^107,27,False,I_N,D_N,ca15135^66555ca,2
proposal/myrmidon/src/main/org/apache/tools/ant/types/FileList.java^135^155+src/main/org/apache/tools/ant/types/RegularExpression.java^139^159,21,False,I_N,W_N,ee5b9c7^0c0ea74,21
src/main/org/apache/tools/ant/types/XMLCatalog.java^455^471+src/main/org/apache/tools/ant/types/resources/Sort.java^139^150,17,False,I_N^I_N,W_N^YY_N,cbe9978^a738000^9caeed5,8^6
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/ejb/GenericDeploymentTool.java^599^658+src/main/org/apache/tools/ant/taskdefs/optional/ejb/GenericDeploymentTool.java^772^823,60,False,I_N,W_N,0fb624e^36a0800,3
src/antidote/org/apache/tools/ant/gui/customizer/DoublePropertyEditor.java^147^159+src/antidote/org/apache/tools/ant/gui/customizer/IntegerPropertyEditor.java^147^159,13,False,C_N,M_N,d830141^7ed1506,2
src/main/org/apache/tools/ant/types/Mapper.java^228^242+src/main/org/apache/tools/ant/types/Substitution.java^106^126,21,False,I_N^I_Y^I_Y^I_N^I_Y^I_Y,Y_N^Y_Y^D_Y^Y_N^Y_Y^Y_Y,afdc184^6ef4875^6154080^c4266e9^de93400^50ab376^3a35c7d,4^2^13^8^2^2
src/main/org/apache/tools/zip/ZipFile.java^529^539+src/main/org/apache/tools/zip/ZipOutputStream.java^885^895,11,True,I_N^I_N^I_N^I_N^I_Y^I_Y,M_N^D_N^W_N^D_N^W_Y^YY_Y,817fd31^3cb22aa^fa57759^8264511^545ff63^8a183a4^dee95e3,8^14^12^2^6^6
proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/vss/MSVSSCHECKOUT.java^238^278+src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSSGET.java^149^189,41,False,I_N,W_N,7fec761^52a5a5d,18
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSSCHECKIN.java^203^245+src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSSLABEL.java^129^177,49,False,I_N,W_N,7fec761^52a5a5d,20
proposal/mutant/src/main/org/apache/ant/core/types/EnumeratedAttribute.java^96^108+proposal/myrmidon/src/main/org/apache/tools/ant/types/EnumeratedAttribute.java^68^84,17,False,I_N,M_N,5fe2765^04a62a4,4
