CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy
False,16,7,C,14,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,160.3,True
False,16,7,C,31,0.0,8,2,0,0,1.0,SYNC,2,0,2,0,0,0,2.3,True
False,16,7,C,45,0.0,38,3,0,0,1.0,SYNC,3,0,3,0,0,0,7.7,False
False,16,7,C,104,0.0,4,4,0,0,0.667,SYNC,4,0,4,0,0,0,19.0,True
False,16,7,I,75,0.0,13,5,0,0,0.75,DIV,4,1,4,0,0,1,7.2,False
False,18,8,I,18,0.0,47,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,18,7,I,18,0.0,33,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,21,7,I,18,0.0,39,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,18,7,I,18,0.0,36,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,18,7,I,18,0.0,44,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,21,7,I,18,0.0,50,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,18,7,I,18,0.0,47,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,21,7,I,18,0.0,36,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,18,7,I,18,0.0,33,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,21,8,I,18,0.0,39,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,18,7,I,18,0.0,33,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,18,7,I,18,0.0,36,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,18,7,I,18,0.0,33,1,0,0,0.0,INC,0,1,0,1,0,0,3.2,False
False,27,7,C,833,0.0,44,1,0,0,0.0,SYNC,1,0,1,0,0,0,1244.8,False
False,27,7,C,702,0.0,48,2,0,0,0.0,SYNC,2,0,2,0,0,0,1596.0,True
False,27,7,C,4042,0.0,6,3,0,0,0.5,SYNC,3,0,3,0,0,0,1668.6,True
False,16,7,C,31,0.0,8,1,0,0,0.0,SYNC,1,0,1,0,0,0,109.0,True
False,16,7,I,45,0.0,19,2,0,0,1.0,DIV,1,1,1,0,0,1,7.7,False
False,16,7,I,104,0.0,2,3,0,0,0.5,DIV,1,2,1,1,0,1,19.0,True
False,16,7,I,75,0.0,13,4,0,0,0.667,DIV,1,3,1,2,0,1,7.2,False
False,16,7,C,14,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,106.6,True
False,16,7,C,31,0.0,8,2,0,0,1.0,SYNC,2,0,2,0,0,0,2.3,True
False,16,7,I,45,0.0,19,3,0,0,1.0,DIV,2,1,2,0,0,1,7.7,False
False,16,7,I,104,0.0,2,4,0,0,0.667,DIV,2,2,2,1,0,1,19.0,True
False,16,7,I,177,0.0,13,5,0,0,0.75,DIV,2,3,2,2,0,1,35.2,False
False,82,8,C,5,0.0,19,1,0,0,0.0,SYNC,1,0,1,0,0,0,31.9,True
False,82,8,C,24,0.0,48,2,0,0,1.0,SYNC,2,0,2,0,0,0,9.1,True
False,82,8,C,16,0.0,4,3,1,1,1.0,SYNC,3,0,3,0,0,0,0.9,False
False,82,8,C,30,0.0,6,4,1,1,0.667,SYNC,4,0,4,0,0,0,2.1,True
False,82,8,C,31,0.0,18,5,2,1,0.75,SYNC,5,0,5,0,0,0,0.2,True
False,82,8,C,45,0.0,14,6,2,1,0.8,SYNC,6,0,6,0,0,0,7.7,False
False,82,8,C,46,0.0,6,7,3,1,0.667,SYNC,7,0,7,0,0,0,0.1,False
False,82,8,C,48,0.0,4,8,3,2,0.571,SYNC,8,0,8,0,0,0,0.1,False
False,82,8,I,123,0.0,129,9,3,2,0.5,DIV,8,1,8,0,0,1,23.8,True
False,82,8,I,128,0.0,2,10,4,1,0.556,DIV,8,2,8,1,0,1,0.8,False
False,82,8,I,242,0.0,31,11,4,1,0.5,DIV,8,3,8,2,0,1,52.4,False
False,82,8,I,284,0.0,4,12,4,1,0.455,DIV,8,4,8,3,0,1,18.7,False
False,82,8,I,285,0.0,6,13,5,1,0.417,DIV,8,5,8,4,0,1,0.0,False
False,82,8,I,289,0.0,13,14,5,1,0.385,DIV,8,6,8,5,0,1,1.3,False
False,82,8,I,290,0.0,4,15,6,1,0.357,DIV,8,7,8,6,0,1,0.0,False
False,82,8,I,291,0.0,4,16,6,2,0.333,DIV,8,8,8,7,0,1,0.0,False
False,82,8,I,295,0.0,4,17,6,2,0.313,DIV,8,9,8,8,0,1,8.0,False
False,82,8,I,164,0.0,15,18,6,2,0.294,DIV,8,10,8,9,0,1,68.8,False
False,82,8,I,387,0.0,78,19,6,2,0.278,DIV,8,11,8,10,0,1,8.2,True
False,12,9,I,77,0.0,77,1,0,0,0.0,INC,0,1,0,1,0,0,39.8,False
False,12,9,C,117,0.0,78,2,0,0,0.0,LP,1,1,0,1,1,0,66.1,False
False,13,7,C,191,0.0,36,1,0,0,0.0,SYNC,1,0,1,0,0,0,64.8,True
False,13,7,C,17,0.0,6,2,0,0,1.0,SYNC,2,0,2,0,0,0,125.8,False
False,13,7,C,18,0.0,6,3,1,1,0.5,SYNC,3,0,3,0,0,0,0.0,True
False,13,7,C,29,0.0,4,4,1,1,0.667,SYNC,4,0,4,0,0,0,167.7,False
False,13,7,I,17,0.0,39,5,1,1,0.5,DIV,4,1,4,0,0,1,238.8,False
False,13,7,I,19,0.0,65,6,1,1,0.4,DIV,4,2,4,1,0,1,6.1,True
False,22,7,C,198,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,65.8,False
False,22,7,C,29,0.0,12,2,0,0,0.0,SYNC,2,0,2,0,0,0,292.5,False
False,22,7,C,418,0.0,4,3,0,0,0.0,SYNC,3,0,3,0,0,0,134.7,False
False,22,7,C,20,0.0,2,4,0,0,0.0,SYNC,4,0,4,0,0,0,18.4,False
False,22,7,I,921,0.0,15,5,0,0,0.0,DIV,4,1,4,0,0,1,14.0,False
False,22,7,I,1026,0.0,4,6,0,0,0.0,DIV,4,2,4,1,0,1,63.7,False
False,22,7,I,29,0.0,3,7,0,0,0.0,DIV,4,3,4,2,0,1,34.9,True
False,22,7,I,558,0.0,8,8,0,0,0.143,DIV,4,4,4,3,0,1,13.2,True
False,22,7,I,118,0.0,20,9,0,0,0.25,DIV,4,5,4,4,0,1,17.9,True
False,22,7,I,119,0.0,6,10,0,0,0.333,DIV,4,6,4,5,0,1,2.2,False
False,22,7,I,792,0.0,3,11,0,0,0.3,DIV,4,7,4,6,0,1,349.8,False
False,22,7,I,215,0.0,2,12,0,0,0.273,DIV,4,8,4,7,0,1,1.2,False
False,22,7,I,853,0.0,6,13,0,0,0.25,DIV,4,9,4,8,0,1,92.9,True
False,22,7,I,856,0.0,4,14,1,1,0.308,DIV,4,10,4,9,0,1,0.9,True
