signature,size,buggy_gen,state+fault,interval,commits,churn
src/uci/ui/PropsGridLayout.java^66^78+src/uci/ui/PropsGridLayout.java^87^99,13,False,C_N^C_N,Y_N^Y_N,536c2f1^977a2ef^4fce6ac,4^8
src/uci/gef/FigCircle.java^72^83+src/uci/gef/FigRRect.java^78^89,12,False,C_N,Y_N,536c2f1^b792f31,3
src/uci/gef/FigCircle.java^72^83+src/uci/gef/FigRect.java^58^67,12,False,C_N^I_N,Y_N^Y_N,536c2f1^b792f31^f6aff3f,2^9
src/uci/gef/FigRRect.java^78^89+src/uci/gef/FigRect.java^58^67,12,False,C_N^I_N,Y_N^Y_N,536c2f1^b792f31^f6aff3f,1^9
src/uci/gef/SelectionNoop.java^47^61+src/uci/gef/SelectionRotate.java^50^60,15,False,C_N,Y_N,536c2f1^cbceb40,1
src/uci/gef/SelectionManager.java^196^208+src/uci/gef/SelectionManager.java^210^222,13,False,I_N,Y_N,536c2f1^896349a,12
src/uci/gef/demo/NodeCPU.java^184^204+src/uci/gef/demo/NodePrinter.java^54^76,23,False,C_N^C_N^C_N,M_N^Y_N^W_N,536c2f1^86c74bc^b792f31^977a2ef,8^4^4
src/uci/gef/demo/SampleNode.java^55^75+src/uci/gef/demo/SampleNode2.java^56^77,22,False,C_N^C_N^I_N^I_N,M_N^Y_N^Y_N^Y_N,536c2f1^86c74bc^8f98e62^f6aff3f^c37c30d,16^2^6^25
src/uci/gef/demo/EquipmentApplet.java^144^153+src/uci/gef/demo/FlexibleApplet.java^203^213,11,False,C_N^I_N^I_N,M_N^Y_N^M_N,536c2f1^1826d46^8f98e62^b792f31,4^4^10
src/uci/gef/FigNode.java^261^273+src/uci/gef/FigNode.java^278^289,13,False,C_N,Y_N,536c2f1^b792f31,1
src/uci/uml/visual/FigClass.java^42^56+src/uci/uml/visual/FigClass.java^58^72,15,False,C_N^I_N^I_N,D_N^W_N^M_N,ca18aa9^32bd001^c79265f^7beb7df,17^33^42
src/uci/gef/demo/NodeCPU.java^185^205+src/uci/uml/visual/demo/NodeCPU.java^185^205,21,False,C_N,Y_N,e320559^b792f31,2
src/uci/gef/demo/NodeCPU.java^185^205+src/uci/uml/visual/demo/NodePrinter.java^59^81,23,False,C_N,Y_N,e320559^b792f31,2
src/uci/gef/demo/NodePrinter.java^59^81+src/uci/uml/visual/demo/NodeCPU.java^185^205,23,False,C_N^C_N,Y_N^W_N,e320559^b792f31^977a2ef,2^4
src/uci/gef/demo/NodePrinter.java^59^81+src/uci/uml/visual/demo/NodePrinter.java^59^81,23,False,C_N^C_N,Y_N^W_N,e320559^b792f31^977a2ef,2^4
src/uci/gef/demo/EquipmentApplet.java^106^124+src/uci/uml/visual/demo/EquipmentApplet.java^106^124,19,False,C_N^I_N,M_N^M_N,e320559^8f98e62^b792f31,8^17
src/uci/gef/demo/EquipmentApplet.java^146^155+src/uci/uml/visual/demo/EquipmentApplet.java^146^155,10,False,I_N^I_N,M_N^M_N,e320559^8f98e62^b792f31,2^4
src/uci/gef/demo/EquipmentApplet.java^146^155+src/uci/uml/visual/demo/FlexibleApplet.java^206^216,11,False,I_N^I_N,M_N^M_N,e320559^8f98e62^b792f31,2^4
src/uci/gef/demo/FlexibleApplet.java^205^215+src/uci/uml/visual/demo/EquipmentApplet.java^146^155,11,False,C_N^I_N,M_N^M_N,e320559^8f98e62^b792f31,2^6
src/uci/gef/demo/FlexibleApplet.java^205^215+src/uci/uml/visual/demo/FlexibleApplet.java^206^216,11,False,C_N^I_N,M_N^M_N,e320559^8f98e62^b792f31,2^6
src/uci/gef/demo/NodeCPU.java^122^138+src/uci/uml/visual/demo/NodeCPU.java^122^138,17,False,I_N,M_N,e320559^8f98e62,17
src/uci/gef/demo/NodeCPU.java^142^156+src/uci/uml/visual/demo/NodeCPU.java^142^156,15,False,I_N,M_N,e320559^8f98e62,15
src/uci/gef/demo/SampleNode.java^56^76+src/uci/uml/visual/demo/SampleClass.java^58^78,21,False,C_N^I_N,Y_N^Y_N,e320559^f6aff3f^c37c30d,6^25
src/uci/gef/demo/SampleNode2.java^52^73+src/uci/uml/visual/demo/SampleClass.java^58^78,22,False,C_N,M_N,e320559^8f98e62,2
src/uci/gef/demo/BasicApplication.java^46^60+src/uci/uml/visual/demo/BasicApplication.java^46^60,15,False,I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N,M_N^W_N^M_N^W_N^W_N^Y_N^Y_N^M_N,e320559^8f98e62^7beb7df^b792f31^977a2ef^e02694e^435b4b9^dadad64^f6aff3f,17^2^12^2^2^2^10^8
src/uci/gef/demo/EquipmentPalette.java^48^57+src/uci/uml/visual/demo/EquipmentPalette.java^48^57,10,False,I_N^I_N,M_N^M_N,e320559^8f98e62^b792f31,12^6
src/uci/gef/demo/EdgeData.java^95^105+src/uci/uml/visual/demo/EdgeData.java^95^105,11,False,I_N,M_N,e320559^8f98e62,11
src/uci/gef/demo/FlexibleApplet.java^122^137+src/uci/uml/visual/demo/FlexibleApplet.java^123^138,16,False,C_N,Y_N,e320559^b792f31,2
src/uci/gef/demo/FlexibleApplet.java^139^173+src/uci/uml/visual/demo/FlexibleApplet.java^140^174,35,False,I_N^I_N^I_N^I_N,M_N^M_N^W_N^W_N,e320559^8f98e62^b792f31^977a2ef^e02694e,64^54^3^4
src/uci/gef/demo/FlexibleApplet.java^184^198+src/uci/uml/visual/demo/FlexibleApplet.java^185^199,15,False,I_N^I_N^I_N,M_N^M_N^W_N,e320559^8f98e62^b792f31^977a2ef,20^5^2
src/uci/uml/ui/NavPerspective.java^85^102+src/uci/uml/ui/ToDoPerspective.java^130^147,18,False,C_N,Y_N,31d625e^292ac60,4
src/uci/uml/ui/NavPerspective.java^85^102+src/uci/uml/ui/ToDoPerspective.java^156^173,18,False,C_N,Y_N,31d625e^292ac60,2
src/uci/uml/ui/NavPerspective.java^85^102+src/uci/uml/ui/ToDoPerspective.java^182^199,18,False,C_N,Y_N,31d625e^292ac60,2
src/uci/uml/ui/NavPerspective.java^85^102+src/uci/uml/ui/ToDoPerspective.java^208^225,18,False,C_N^C_N,W_N^M_N,31d625e^8f98e62^292ac60,10^2
src/uci/uml/ui/NavPerspective.java^111^128+src/uci/uml/ui/ToDoPerspective.java^130^147,18,False,C_N,Y_N,31d625e^292ac60,4
src/uci/uml/ui/NavPerspective.java^111^128+src/uci/uml/ui/ToDoPerspective.java^156^173,18,False,C_N,Y_N,31d625e^292ac60,2
src/uci/uml/ui/NavPerspective.java^111^128+src/uci/uml/ui/ToDoPerspective.java^182^199,18,False,C_N,Y_N,31d625e^292ac60,2
src/uci/uml/ui/NavPerspective.java^111^128+src/uci/uml/ui/ToDoPerspective.java^208^225,18,False,C_N^C_N,W_N^M_N,31d625e^8f98e62^292ac60,10^2
src/uci/uml/ui/NavPerspective.java^137^154+src/uci/uml/ui/ToDoPerspective.java^130^147,18,False,C_N,Y_N,31d625e^292ac60,4
src/uci/uml/ui/NavPerspective.java^137^154+src/uci/uml/ui/ToDoPerspective.java^156^173,18,False,C_N,Y_N,31d625e^292ac60,2
src/uci/uml/ui/NavPerspective.java^137^154+src/uci/uml/ui/ToDoPerspective.java^182^199,18,False,C_N,Y_N,31d625e^292ac60,2
src/uci/uml/ui/NavPerspective.java^137^154+src/uci/uml/ui/ToDoPerspective.java^208^225,18,False,C_N^C_N,W_N^M_N,31d625e^8f98e62^292ac60,10^2
src/uci/uml/ui/NavPerspective.java^163^180+src/uci/uml/ui/ToDoPerspective.java^130^147,18,False,C_N,Y_N,31d625e^292ac60,4
src/uci/uml/ui/NavPerspective.java^163^180+src/uci/uml/ui/ToDoPerspective.java^156^173,18,False,C_N,Y_N,31d625e^292ac60,2
src/uci/uml/ui/NavPerspective.java^163^180+src/uci/uml/ui/ToDoPerspective.java^182^199,18,False,C_N,Y_N,31d625e^292ac60,2
src/uci/uml/ui/NavPerspective.java^163^180+src/uci/uml/ui/ToDoPerspective.java^208^225,18,False,C_N^C_N,W_N^M_N,31d625e^8f98e62^292ac60,10^2
