CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy
False,13,4,C,34,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,81.1,False
False,13,4,C,58,0.0,8,2,0,0,0.0,SYNC,2,0,2,0,0,0,66.9,False
False,12,3,C,29,0.0,3,1,0,0,0.0,SYNC,1,0,1,0,0,0,77.0,False
False,12,3,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,77.0,False
False,12,3,I,105,0.0,9,2,0,0,0.0,DIV,1,1,1,0,0,1,262.1,False
False,12,3,C,29,0.0,1,1,0,0,0.0,SYNC,1,0,1,0,0,0,77.0,False
False,12,3,I,105,0.0,9,2,0,0,0.0,DIV,1,1,1,0,0,1,262.1,False
False,15,3,C,76,0.0,1,1,0,0,0.0,SYNC,1,0,1,0,0,0,172.0,False
False,13,4,I,67,0.0,12,1,0,0,0.0,INC,0,1,0,1,0,0,155.1,False
False,23,4,C,6,0.0,8,1,0,0,0.0,SYNC,1,0,1,0,0,0,16.0,False
False,23,4,C,29,0.0,4,2,0,0,0.0,SYNC,2,0,2,0,0,0,61.0,False
False,23,4,C,34,0.0,4,3,0,0,0.0,SYNC,3,0,3,0,0,0,4.1,False
False,22,4,C,6,0.0,16,1,0,0,0.0,SYNC,1,0,1,0,0,0,16.0,False
False,22,4,C,22,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,42.0,False
False,22,4,I,105,0.0,6,3,0,0,0.0,DIV,2,1,2,0,0,1,281.1,False
False,22,4,I,110,0.0,25,4,0,0,0.0,DIV,2,2,2,1,0,1,49.8,False
False,11,4,C,12,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,16.2,False
False,11,4,I,22,0.0,4,2,0,0,0.0,DIV,1,1,1,0,0,1,41.8,False
False,11,4,I,29,0.0,10,3,0,0,0.0,DIV,1,2,1,1,0,1,19.0,False
False,13,4,C,29,0.0,1,1,0,0,0.0,SYNC,1,0,1,0,0,0,77.0,False
False,15,5,C,14,0.0,17,1,1,1,0.0,SYNC,1,0,1,0,0,0,0.0,False
False,15,5,I,17,0.0,33,2,1,1,0.0,DIV,1,1,1,0,0,1,4.1,False
False,15,5,I,23,0.0,42,3,1,1,0.0,DIV,1,2,1,1,0,1,13.0,False
False,21,2,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,35.0,False
False,23,2,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,35.0,False
False,23,2,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,35.0,False
False,23,2,C,34,0.0,4,2,0,0,0.0,SYNC,2,0,2,0,0,0,4.1,False
False,23,2,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,35.0,False
False,23,2,C,34,0.0,4,2,0,0,0.0,SYNC,2,0,2,0,0,0,4.1,False
False,19,2,C,22,0.0,8,1,0,0,0.0,SYNC,1,0,1,0,0,0,16.0,False
False,19,2,I,29,0.0,17,2,0,0,0.0,DIV,1,1,1,0,0,1,19.0,False
False,10,2,I,22,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,10,2,I,29,0.0,4,2,0,0,0.0,INC,0,2,0,2,0,0,19.0,False
False,11,2,I,22,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,11,2,I,29,0.0,4,2,0,0,0.0,INC,0,2,0,2,0,0,19.0,False
False,11,2,C,22,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,16.0,False
False,11,2,I,29,0.0,6,2,0,0,0.0,DIV,1,1,1,0,0,1,19.0,False
False,11,2,C,22,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,16.0,False
False,11,2,I,29,0.0,6,2,0,0,0.0,DIV,1,1,1,0,0,1,19.0,False
False,17,2,I,22,0.0,17,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,15,2,I,22,0.0,15,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,21,2,C,105,0.0,6,1,0,0,0.0,SYNC,1,0,1,0,0,0,297.1,False
False,21,2,I,110,0.0,25,2,0,0,0.0,DIV,1,1,1,0,0,1,49.8,False
False,22,2,C,22,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,16.0,False
False,15,2,I,22,0.0,17,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,15,2,I,23,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,1.1,False
False,15,2,I,29,0.0,12,3,0,0,0.0,INC,0,3,0,3,0,0,17.9,False
False,15,2,I,34,0.0,2,4,0,0,0.0,INC,0,4,0,4,0,0,4.1,False
False,15,2,I,43,0.0,2,5,0,0,0.0,INC,0,5,0,5,0,0,3.1,False
False,15,2,I,97,0.0,2,6,0,0,0.0,INC,0,6,0,6,0,0,196.8,False
False,15,2,I,104,0.0,10,7,0,0,0.0,INC,0,7,0,7,0,0,40.8,False
False,15,2,I,105,0.0,8,8,0,0,0.0,INC,0,8,0,8,0,0,17.3,False
False,10,2,I,22,0.0,12,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,10,2,I,29,0.0,6,2,0,0,0.0,INC,0,2,0,2,0,0,19.0,False
False,11,2,I,22,0.0,11,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,16,2,C,29,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,35.0,False
False,35,2,I,22,0.0,64,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,35,2,I,29,0.0,54,2,0,0,0.0,INC,0,2,0,2,0,0,19.0,False
False,35,2,I,34,0.0,3,3,0,0,0.0,INC,0,3,0,3,0,0,4.1,False
False,35,2,I,43,0.0,4,4,0,0,0.0,INC,0,4,0,4,0,0,3.1,False
False,15,2,I,22,0.0,20,1,0,0,0.0,INC,0,1,0,1,0,0,16.0,False
False,15,2,I,29,0.0,5,2,0,0,0.0,INC,0,2,0,2,0,0,19.0,False
False,15,2,I,34,0.0,2,3,0,0,0.0,INC,0,3,0,3,0,0,4.1,False
False,18,4,C,46,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,4,C,46,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,18,4,C,46,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,4,C,46,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,18,4,C,46,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,4,C,46,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,18,4,C,46,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,46,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
False,18,4,C,22,0.0,10,1,0,0,0.0,SYNC,1,0,1,0,0,0,5.8,False
False,18,4,C,46,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,29.1,False
False,18,5,C,46,0.0,6,1,0,0,0.0,SYNC,1,0,1,0,0,0,34.9,False
