signature,size,buggy_gen,state+fault,interval,commits,churn
org/gjt/sp/jedit/gui/AbstractContextOptionPane.java^208^270+org/gjt/sp/jedit/options/ToolBarOptionPane.java^308^376,69,False,C_N,Y_N,a800430^a74533f,63
org/gjt/sp/jedit/ModeCatalogHandler.java^35^53+org/gjt/sp/jedit/pluginmgr/PluginListHandler.java^36^55,20,True,I_N^I_N^I_Y^I_N,Y_N^D_N^YY_Y^D_N,b8f3b33^f8f88a2^2263127^0359cdc^7430485,18^18^53^16
org/gjt/sp/jedit/JARClassLoader.java^128^158+org/gjt/sp/jedit/JARClassLoader.java^165^191,31,False,I_N,M_N,e472174^5800357,11
org/gjt/sp/jedit/menu/EnhancedCheckBoxMenuItem.java^111^131+org/gjt/sp/jedit/menu/EnhancedMenuItem.java^104^124,21,False,C_N,D_N,3bda930^117c692,8
org/gjt/sp/jedit/textarea/DisplayManager.java^907^951+org/gjt/sp/jedit/textarea/DisplayManager.java^954^998,45,True,I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_Y^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_Y^I_N^I_Y^I_N^I_N^I_N,D_N^W_N^D_N^W_N^D_N^D_N^W_N^D_N^D_N^D_N^W_N^M_N^D_N^W_N^D_N^Y_N^D_N^M_N^W_N^D_N^W_N^D_N^Y_N^D_Y^M_N^D_N^Y_N^D_N^Y_N^D_N^D_N^D_N^D_N^D_N^Y_N^D_Y^D_N^D_Y^M_N^D_N^Y_N,3ce32f9^2ad221c^912bb5e^f721baf^681e7f1^2cde1a5^c2b0e93^ddcee29^bc81d18^965cbfc^136c02f^126735c^ce10097^9d02c60^1b5bdbe^421fdae^6f7130e^33c5d2c^e420724^ab5148b^4dcb6b7^3717659^3cfa104^ab8c368^db0b32b^6191e71^13c7ac3^80e011b^654d736^7024499^0384ca0^2bb7452^45c7885^0ae0fa4^c32b3c7^973f843^e11358c^27e51e2^61b0a19^b89b06e^9c95187^53eabd9,4^17^21^12^12^1^4^4^6^6^8^2^2^3^4^2^2^17^2^2^2^2^42^42^2^2^18^18^2^2^26^20^3^3^49^49^3^3^5^5^90
org/gjt/sp/jedit/jEdit.java^778^794+org/gjt/sp/jedit/print/BufferPrinter1_3.java^47^63,17,False,I_N,M_N,cb76781^0c4e249,17
org/gjt/sp/jedit/gui/FilePropertiesDialog.java^169^185+org/gjt/sp/jedit/gui/FilePropertiesDialog.java^272^288,17,False,I_N,YY_N,e82368b^78ecab5,46
org/gjt/sp/jedit/View.java^1329^1346+org/gjt/sp/jedit/browser/VFSFileChooserDialog.java^337^355,19,False,I_N,W_N,3bb53d5^6568f61,18
org/gjt/sp/jedit/BufferHistory.java^276^294+org/gjt/sp/jedit/gui/DockableWindowManager.java^146^165,20,True,I_Y^I_N^I_N^I_N^I_N^I_Y^I_N^I_N^I_N^I_N^I_N^I_N,D_Y^Y_N^D_N^YY_N^D_N^M_Y^Y_N^Y_N^D_N^W_N^D_N^YY_N,4521d05^e07ad36^f8f88a2^2263127^397c601^be2473e^34d9300^fed7d26^03222fd^cbd2ff5^58285d5^00309a7^fa82ab7,6^11^9^2^12^2^2^1^1^1^1^27
org/gjt/sp/jedit/textarea/Gutter.java^245^269+org/gjt/sp/jedit/textarea/TextAreaPainter.java^472^496,25,False,I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N^I_N,D_N^D_N^W_N^D_N^D_N^D_N^Y_N^D_N^Y_N,1743c14^e30e40e^57cd626^52b7ebe^6fa90ab^22dac1a^6697327^a457f6b^14a37dc^f0b9fa6,80^37^32^47^4^4^11^11^108
org/gjt/sp/jedit/menu/EnhancedMenuItem.java^104^124+org/gjt/sp/jedit/menu/MarkersProvider.java^123^144,22,False,C_N,D_N,3bda930^117c692,7
org/gjt/sp/jedit/gui/OptionsDialog.java^708^728+org/jedit/options/OptionGroupPane.java^525^545,21,False,I_N,YY_N,39cc2fd^a11facd,47
org/gjt/sp/jedit/ActionListHandler.java^124^148+org/gjt/sp/jedit/ServiceListHandler.java^114^139,26,True,I_Y^I_N,YY_Y^D_N,7e652b3^0359cdc^7430485,27^48
org/gjt/sp/jedit/gui/OptionsDialog.java^708^728+org/jedit/options/PluginOptionGroup.java^226^246,21,False,I_N,YY_N,39cc2fd^a11facd,47
org/gjt/sp/jedit/options/BrowserColorsOptionPane.java^288^301+org/gjt/sp/jedit/options/SyntaxHiliteOptionPane.java^178^190,14,False,C_N,Y_N,348f358^dcae49b,2
org/gjt/sp/util/IOUtilities.java^194^215+org/gjt/sp/util/IOUtilities.java^249^270,22,False,I_N,M_N,55feec1^d7b52ec,44
org/gjt/sp/jedit/textarea/FoldVisibilityManager.java^104^123+org/gjt/sp/jedit/textarea/FoldVisibilityManager.java^130^149,20,True,I_N^I_Y,D_N^W_Y,2377d25^65440d8^550e81b,4^3
org/gjt/sp/jedit/gui/DefaultInputHandler.java^106^208+org/gjt/sp/jedit/input/TextAreaInputHandler.java^232^333,103,False,C_N,Y_N,b4d9ea8^eb0d9dc,4
org/jedit/options/OptionGroupPane.java^503^523+org/jedit/options/OptionGroupPane.java^525^545,21,False,I_N,YY_N,39cc2fd^a11facd,42
installer/SwingInstall.java^547^564+org/gjt/sp/jedit/pluginmgr/PluginManagerProgress.java^207^224,18,True,I_N^I_N^I_Y^I_N,Y_N^D_N^Y_Y^D_N,4d7e133^f05778f^e029250^b923059^e3faf61,2^2^15^3
org/gjt/sp/jedit/options/AbbrevsOptionPane.java^414^426+org/gjt/sp/jedit/options/SyntaxHiliteOptionPane.java^179^191,13,False,I_N^I_N,Y_N^D_N,819dc3a^a9d457f^348f358,25^14
org/gjt/sp/jedit/browser/VFSDirectoryEntryTableModel.java^238^260+org/gjt/sp/jedit/browser/VFSDirectoryEntryTableModel.java^263^291,29,False,I_N^I_N,YY_N^Y_N,ffc0774^84cc055^220f8a2,7^1
org/gjt/sp/jedit/options/ContextOptionPane.java^351^371+org/gjt/sp/jedit/options/ToolBarOptionPane.java^646^665,21,False,I_N^I_N,YY_N^Y_N,865ab9f^21e5d2e^a800430,6^21
org/gjt/sp/jedit/options/DockingOptionPane.java^258^269+org/gjt/sp/jedit/options/StyleOptionPane.java^186^197,12,False,I_N,D_N,1d23005^0dd723c,3
org/gjt/sp/jedit/print/BufferPrinter1_3.java^86^133+org/gjt/sp/jedit/print/BufferPrinter1_4.java^89^137,49,False,I_N^I_N^I_N^I_N^I_N^I_N^I_N,D_N^D_N^D_N^D_N^D_N^YY_N^YY_N,0c4e249^e4e2ab6^7ea86c6^8bc4ead^6e3dfa4^58f46ba^e62425c^5ee061f,29^2^2^7^31^2^2
