CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy
False,69,4,C,11,0.0,63,1,0,0,0.0,SYNC,1,0,1,0,0,0,145.4,False
False,20,4,I,177,0.0,18,1,0,0,0.0,INC,0,1,0,1,0,0,161.0,False
False,20,4,I,1456,0.0,18,2,1,1,0.0,INC,0,2,0,2,0,0,0.0,False
False,20,4,I,30,0.0,53,3,1,1,0.0,INC,0,3,0,3,0,0,1589.6,True
False,20,4,I,6,0.0,16,4,2,1,0.333,INC,0,4,0,4,0,0,0.0,False
True,31,5,I,9,1.0,11,1,0,0,0.0,INC,0,1,0,1,0,0,22.0,False
False,21,5,C,15,0.0,8,1,1,1,0.0,SYNC,1,0,1,0,0,0,0.0,False
False,45,6,I,816,0.0,4,1,1,1,0.0,INC,0,1,0,1,0,0,0.0,False
False,45,6,I,2098,0.0,17,2,1,1,0.0,INC,0,2,0,2,0,0,3.9,False
False,45,6,I,819,0.0,21,3,2,1,0.0,INC,0,3,0,3,0,0,0.0,False
False,45,6,I,820,0.0,12,4,2,1,0.0,INC,0,4,0,4,0,0,2.8,False
False,45,6,I,2099,0.0,12,5,3,1,0.0,INC,0,5,0,5,0,0,0.0,False
False,45,6,I,821,0.0,1,6,3,2,0.0,INC,0,6,0,6,0,0,0.1,False
False,45,6,I,842,0.0,4,7,3,2,0.0,INC,0,7,0,7,0,0,6.9,False
False,45,6,I,2121,0.0,4,8,4,1,0.0,INC,0,8,0,8,0,0,0.0,False
False,45,6,I,2125,0.0,6,9,4,2,0.0,INC,0,9,0,9,0,0,0.1,False
False,45,6,I,846,0.0,6,10,4,3,0.0,INC,0,10,0,10,0,0,0.0,False
False,45,6,I,864,0.0,8,11,4,3,0.0,INC,0,11,0,11,0,0,6.3,False
False,45,6,I,890,0.0,2,12,4,3,0.0,INC,0,12,0,12,0,0,12.2,False
False,45,6,I,2169,0.0,2,13,5,1,0.0,INC,0,13,0,13,0,0,0.0,False
False,45,6,I,2180,0.0,3,14,5,1,0.0,INC,0,14,0,14,0,0,2.7,False
False,45,6,I,901,0.0,4,15,6,1,0.0,INC,0,15,0,15,0,0,0.0,False
False,45,6,I,2222,0.0,2,16,6,1,0.0,INC,0,16,0,16,0,0,49.7,False
False,45,6,I,943,0.0,2,17,7,1,0.0,INC,0,17,0,17,0,0,0.0,False
False,45,6,I,2238,0.0,17,18,7,1,0.0,INC,0,18,0,18,0,0,10.0,False
False,45,6,I,965,0.0,2,19,7,1,0.0,INC,0,19,0,19,0,0,4.1,False
False,45,6,I,2244,0.0,2,20,8,1,0.0,INC,0,20,0,20,0,0,0.0,False
False,45,6,I,967,0.0,2,21,8,1,0.0,INC,0,21,0,21,0,0,3.0,False
False,45,6,I,2246,0.0,2,22,9,1,0.0,INC,0,22,0,22,0,0,0.0,False
False,45,6,I,1019,0.0,42,23,9,1,0.0,INC,0,23,0,23,0,0,97.1,False
False,45,6,I,2298,0.0,42,24,10,1,0.0,INC,0,24,0,24,0,0,0.0,True
False,45,6,I,1021,0.0,2,25,10,1,0.042,INC,0,25,0,25,0,0,9.8,False
False,45,6,I,2300,0.0,2,26,11,1,0.04,INC,0,26,0,26,0,0,0.0,False
False,45,6,I,1129,0.0,18,27,11,1,0.038,INC,0,27,0,27,0,0,173.1,False
False,45,6,I,2408,0.0,18,28,12,1,0.037,INC,0,28,0,28,0,0,0.0,False
False,45,6,I,1182,0.0,2,29,12,1,0.036,INC,0,29,0,29,0,0,95.2,False
False,45,6,I,2461,0.0,2,30,13,1,0.034,INC,0,30,0,30,0,0,0.0,False
False,45,6,I,2462,0.0,26,31,13,2,0.033,INC,0,31,0,31,0,0,0.0,False
False,45,6,I,1183,0.0,20,32,13,3,0.032,INC,0,32,0,32,0,0,0.0,False
False,45,6,I,2463,0.0,3,33,13,4,0.031,INC,0,33,0,33,0,0,0.0,False
False,45,6,I,1184,0.0,3,34,13,5,0.03,INC,0,34,0,34,0,0,0.0,False
False,45,6,I,1196,0.0,49,35,13,5,0.029,INC,0,35,0,35,0,0,55.9,False
False,45,6,I,2475,0.0,49,36,14,1,0.029,INC,0,36,0,36,0,0,0.0,True
