signature,size,buggy_gen,state+fault,interval,commits,churn
maven-core/src/main/java/org/apache/maven/settings/building/DefaultSettingsBuilder.java^97^111+maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java^350^364,15,True,I_Y,M_Y,fce4db9^1068ab5,14
maven-plugins/maven-project-info-reports-plugin/src/test/java/org/apache/maven/report/projectinfo/ScmReportTest.java^173^222+maven-plugins/maven-project-info-reports-plugin/src/test/java/org/apache/maven/report/projectinfo/ScmReportTest.java^227^276,50,False,C_N,D_N,55bbfd0^b6745b6,124
maven-compat/src/main/java/org/apache/maven/artifact/repository/metadata/DefaultRepositoryMetadataManager.java^401^432+maven-core/src/main/java/org/apache/maven/plugin/prefix/internal/DefaultPluginPrefixResolver.java^246^280,35,False,I_N,W_N,2f4b79e^29b30a3,35
maven-core/src/main/java/org/apache/maven/artifact/repository/metadata/io/DefaultMetadataReader.java^81^102+maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelProcessor.java^64^85,22,False,I_N^I_Y^I_N,Y_N^YY_Y^Y_N,20f8323^df8e313^618e62d^0535716,19^5^8
maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java^149^161+maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java^75^87,13,False,I_N^I_Y,Y_N^Y_Y,9417640^40028e7^6c37a89,7^1
maven-plugins/maven-checkstyle-plugin/src/main/java/org/apache/maven/plugin/checkstyle/CheckstyleReport.java^261^279+maven-plugins/maven-pmd-plugin/src/main/java/org/apache/maven/plugin/pmd/PmdReport.java^204^228,25,True,I_Y,D_Y,5a0904e^ed7ccf7,25
maven-compat/src/main/java/org/apache/maven/repository/DelegatingLocalArtifactRepository.java^147^167+maven-core/src/main/java/org/apache/maven/ReactorArtifactRepository.java^189^207,21,True,C_Y,M_Y,fb1c53d^043c8d6,2
maven-core/src/main/java/org/apache/maven/eventspy/internal/EventSpyDispatcher.java^101^126+maven-core/src/main/java/org/apache/maven/eventspy/internal/EventSpyDispatcher.java^128^153,26,False,I_N^I_Y,Y_N^YY_Y,887c5b8^ad9b6eb^7badeb5,42^12
maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginDescriptorCache.java^224^240+maven-core/src/main/java/org/apache/maven/project/artifact/DefaultMavenMetadataCache.java^178^194,17,True,I_Y,W_Y,618bbf4^6c37a89,17
maven-project/src/main/java/org/apache/maven/project/ProjectUtils.java^86^108+maven-tools/src/main/java/org/apache/maven/DefaultMavenTools.java^117^137,23,False,I_N,D_N,17a0c66^bf0d8aa,1
maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/transform/LatestArtifactTransformation.java^36^59+maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/transform/ReleaseArtifactTransformation.java^44^68,25,False,I_N,Y_N,ee5dd78^ceef529,18
maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/DefaultRepositoryLayout.java^30^52+maven-artifact/src/main/java/org/apache/maven/artifact/repository/layout/LegacyRepositoryLayout.java^29^50,23,False,I_Y^I_N^I_Y,M_Y^W_N^Y_Y,26d36d8^ca59227^03a50c1^e0457b0,2^2^12
maven-core/src/main/java/org/apache/maven/model/plugin/DefaultLifecycleBindingsInjector.java^89^120+maven-model/src/main/java/org/apache/maven/model/merge/ModelMerger.java^2379^2407,32,False,I_Y^I_N^I_N^I_N^I_N^I_Y^I_Y^I_N,M_Y^W_N^D_N^D_N^W_N^YY_Y^YY_Y^YY_N,5e36879^26f1a5b^b614de4^53b7d5e^73d7e4f^a1803e5^d92746d^7badeb5^39c25ce,23^36^10^41^6^9^10^10
maven-core/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java^131^148+maven-core/src/main/java/org/apache/maven/project/DefaultProjectBuilder.java^460^477,18,True,I_Y,D_Y,8c9c576^ae675f8,18
maven-mboot2/src/main/java/MBoot.java^853^877+maven-mboot2/src/main/java/MBoot.java^879^903,25,True,I_N^I_Y^I_N^I_Y^I_Y^I_Y^I_Y^I_N^I_N^I_N^I_N,M_N^W_Y^D_N^M_Y^M_Y^Y_Y^W_Y^D_N^W_N^M_N^M_N,14bb2c8^c700675^f5270e4^27363f8^2383535^14b9e9f^31e79ea^ba35fd5^f11def8^ba88f96^d8f499d^a440e6b,33^16^12^2^2^2^16^2^5^1^1
maven-project/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java^244^271+maven-project/src/main/java/org/apache/maven/project/injection/DefaultProfileInjector.java^572^599,28,False,I_N,M_N,5d50cea^7c43aa2,2
maven-compat/src/test/java/org/apache/maven/repository/LegacyRepositorySystemTest.java^69^86+maven-core/src/test/java/org/apache/maven/AbstractCoreMavenComponentTestCase.java^179^196,18,False,I_N,YY_N,6c37a89^0343c52,4
maven-project/src/test/java/org/apache/maven/profiles/manager/DefaultProfileManagerTest.java^147^176+maven-project/src/test/java/org/apache/maven/profiles/manager/DefaultProfileManagerTest.java^178^206,30,False,I_N^I_N^I_N,D_N^Y_N^M_N,e51635b^aaf6716^bd45240^f117208,8^4^4
maven-plugins/maven-eclipse-plugin/src/main/java/org/apache/maven/plugin/eclipse/EclipseWriter.java^664^680+maven-plugins/maven-idea-plugin/src/main/java/org/apache/maven/plugin/idea/IdeaMojo.java^378^394,17,False,I_N,M_N,b380d0e^9da1858,6
maven-project-builder/src/main/java/org/apache/maven/project/builder/ModelInterpolator.java^288^325+maven-project-builder/src/main/java/org/apache/maven/project/builder/ProcessorContext.java^683^720,38,False,I_N,W_N,100a914^5775631,2
maven-model-builder/src/main/java/org/apache/maven/model/inheritance/DefaultInheritanceAssembler.java^115^154+maven-model/src/main/java/org/apache/maven/model/merge/ModelMerger.java^2379^2407,40,False,I_N^I_Y^I_Y^I_N^I_N^I_Y^I_N^I_Y,Y_N^D_Y^Y_Y^Y_N^Y_N^M_Y^Y_N^YY_Y,62e07ca^a1803e5^05b59c8^4d5a89d^997c311^bdecdcf^6e7b422^8834956^7badeb5,6^6^35^16^17^3^1^14
maven-aether-provider/src/main/java/org/apache/maven/repository/internal/DefaultModelCache.java^96^110+maven-compat/src/main/java/org/apache/maven/artifact/resolver/filter/InversionArtifactFilter.java^48^63,16,False,C_N,YY_N,6c37a89^0343c52,6
maven-core/src/test/java/org/apache/maven/lifecycle/EmptyLifecyclePluginAnalyzer.java^59^75+maven-core/src/test/java/org/apache/maven/project/EmptyLifecycleExecutor.java^82^98,17,False,I_N,YY_N,e8f8fdb^901b1e8,1
maven-compat/src/test/java/org/apache/maven/repository/legacy/DefaultUpdateCheckManagerTest.java^111^138+maven-compat/src/test/java/org/apache/maven/repository/legacy/DefaultUpdateCheckManagerTest.java^140^165,28,False,I_Y^I_N,Y_Y^YY_N,3401086^d425e27^0343c52,4^6
maven-compat/src/main/java/org/apache/maven/artifact/resolver/filter/TypeArtifactFilter.java^49^64+maven-core/src/main/java/org/apache/maven/artifact/resolver/filter/AndArtifactFilter.java^84^99,16,False,I_N,YY_N,20f8323^0343c52,12
maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelProcessor.java^64^85+maven-model-builder/src/main/java/org/apache/maven/model/io/DefaultModelReader.java^83^104,22,False,I_N^I_N^I_Y^I_Y^I_N,Y_N^D_N^Y_Y^YY_Y^Y_N,eb16f89^df8e313^a123fce^6e7b422^618e62d^0535716,19^7^2^5^9
maven-mboot2/src/main/java/model/Repository.java^65^87+maven-mboot2/src/main/java/model/Repository.java^96^119,24,False,I_Y^I_N^I_N,W_Y^Y_N^W_N,678919a^14b9e9f^510de4f^3510e98,6^5^3
maven-core/src/main/java/org/apache/maven/artifact/resolver/filter/AndArtifactFilter.java^84^99+maven-core/src/main/java/org/apache/maven/artifact/resolver/filter/ExclusionSetFilter.java^75^90,16,False,I_N,YY_N,57ff75e^0343c52,12
maven-core/src/main/java/org/apache/maven/settings/building/DefaultSettingsProblem.java^81^113+maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelProblem.java^109^143,35,False,I_N,Y_N,d4ca575^419a1d4,35
maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginMappingManager.java^223^266+maven-plugin-mapping/src/main/java/org/apache/maven/plugin/mapping/DefaultPluginMappingBuilder.java^162^203,44,True,I_Y,W_Y,e0457b0^c991b41,56
maven-compat/src/main/java/org/apache/maven/artifact/repository/MavenArtifactRepository.java^322^340+maven-core/src/main/java/org/apache/maven/ReactorArtifactRepository.java^189^207,19,True,I_Y,W_Y,1ceae0f^043c8d6,2
maven-core/src/main/java/org/apache/maven/artifact/resolver/filter/AndArtifactFilter.java^84^99+maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginDescriptorCache.java^179^197,19,False,I_N,YY_N,40fb188^0343c52,6
bootstrap/bootstrap-mini/src/main/java/org/apache/maven/bootstrap/Bootstrap.java^707^741+maven-mboot2/src/main/java/MBoot.java^745^781,37,False,I_N,D_N,24d4985^e30e6ca,6
maven-model-builder/src/main/java/org/apache/maven/model/merge/MavenModelMerger.java^490^523+maven-model/src/main/java/org/apache/maven/model/merge/ModelMerger.java^2590^2618,34,False,I_Y,YY_Y,7403318^7badeb5,8
maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginDescriptorCache.java^161^177+maven-core/src/main/java/org/apache/maven/project/ReactorModelPool.java^72^88,17,False,I_Y,W_Y,618bbf4^6c37a89,6
maven-core/src/main/java/org/apache/maven/model/plugin/DefaultLifecycleBindingsInjector.java^89^120+maven-model-builder/src/main/java/org/apache/maven/model/inheritance/DefaultInheritanceAssembler.java^115^154,40,False,I_Y^I_N^I_N^I_N^I_Y^I_Y^I_N^I_N^I_Y^I_N^I_Y^I_Y^I_N,M_Y^W_N^D_N^D_N^W_Y^Y_Y^Y_N^Y_N^M_Y^Y_N^YY_Y^YY_Y^YY_N,62e07ca^26f1a5b^b614de4^53b7d5e^73d7e4f^05b59c8^4d5a89d^997c311^bdecdcf^6e7b422^8834956^d92746d^7badeb5^39c25ce,23^36^10^41^6^35^16^17^3^1^9^16^10
maven-core/src/main/java/org/apache/maven/settings/io/DefaultSettingsReader.java^81^102+maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelProcessor.java^64^85,22,False,I_N,Y_N,eb16f89^df8e313,19
maven-project/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^302^332+maven-project/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^334^365,32,True,I_Y,YY_Y,3dcf943^6b96692,4
maven-project/src/main/java/org/apache/maven/DefaultMavenTools.java^115^144+maven-project/src/test/java/org/apache/maven/project/TestArtifactResolver.java^288^317,30,True,I_Y,W_Y,8d90d7c^ff09f5b,7
maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java^1213^1253+maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java^1255^1293,41,True,I_Y,M_Y,09e46f4^34bf67e,58
maven-core/src/main/java/org/apache/maven/plugin/internal/DefaultPluginManager.java^93^123+maven-core/src/main/java/org/apache/maven/plugin/internal/DefaultPluginManager.java^125^155,31,False,I_N^I_N,Y_N^YY_N,6b82e83^b6ee02c^cfd1fbe,12^2
maven-project-builder/src/test/java/org/apache/maven/project/builder/PropertyMatcherTest.java^17^32+maven-project-builder/src/test/java/org/apache/maven/project/builder/PropertyMatcherTest.java^35^50,16,False,C_N,W_N,dae9c8f^3370218,2
maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java^274^302+maven-reporting/maven-reporting-manager/src/main/java/org/apache/maven/reporting/manager/DefaultMavenReportManager.java^121^152,32,False,I_N,D_N,0f6db45^36f970b,6
maven-core/src/test/java/org/apache/maven/project/harness/PomTestWrapper.java^145^167+maven-project-builder/src/main/java/org/apache/maven/project/builder/PomClassicDomainModel.java^201^224,24,False,I_N^I_N,D_N^W_N,58886bc^c4af0fc^5775631,22^23
maven-model-builder/src/main/java/org/apache/maven/model/management/DefaultPluginManagementInjector.java^103^133+maven-model/src/main/java/org/apache/maven/model/merge/ModelMerger.java^2590^2618,31,False,I_Y,YY_Y,7403318^7badeb5,8
maven-core/src/main/java/org/apache/maven/artifact/resolver/filter/IncludesArtifactFilter.java^77^93+maven-core/src/main/java/org/apache/maven/project/ReactorModelPool.java^72^88,17,False,I_N,YY_N,20f8323^0343c52,4
maven-compat/src/test/java/org/apache/maven/project/inheritance/t06/ProjectInheritanceTest.java^50^80+maven-compat/src/test/java/org/apache/maven/project/inheritance/t07/ProjectInheritanceTest.java^50^79,31,False,C_N^I_Y,Y_N^YY_Y,20f8323^770b6d9^d92746d,4^15
maven-project-builder/src/main/java/org/apache/maven/project/builder/PomTransformer.java^677^697+maven-project/src/main/java/org/apache/maven/project/builder/PomClassicTransformer.java^416^436,21,False,I_N,D_N,0b4c2c9^cca3433,21
maven-core/src/main/java/org/apache/maven/extension/DefaultExtensionManager.java^442^490+maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java^1554^1605,52,True,I_Y,Y_Y,ca2bb6a^5c32bc6,49
maven-project/src/test/java/org/apache/maven/project/processor/ModelProcessorTest.java^48^60+maven-project/src/test/java/org/apache/maven/project/processor/ParentProcessorTest.java^10^21,13,False,C_N,W_N,3deea46^e552b22,23
