CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy
False,22,0,C,18,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,78.1,False
False,22,0,C,421,0.0,5,2,0,0,0.0,SYNC,2,0,2,0,0,0,92.3,False
False,22,0,C,18,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,39.7,False
False,22,0,C,421,0.0,5,2,0,0,0.0,SYNC,2,0,2,0,0,0,92.3,False
False,22,0,I,85,0.0,2,3,0,0,0.0,DIV,2,1,2,0,0,1,95.6,False
False,22,0,I,353,0.0,27,4,0,0,0.0,DIV,2,2,2,1,0,1,24.5,True
False,28,0,C,279,0.0,11,1,0,0,0.0,SYNC,1,0,1,0,0,0,14.6,False
False,28,0,I,111,0.0,38,2,0,0,0.0,DIV,1,1,1,0,0,1,201.9,True
False,17,0,C,279,0.0,14,1,0,0,0.0,SYNC,1,0,1,0,0,0,14.6,False
False,17,0,I,111,0.0,47,2,0,0,0.0,DIV,1,1,1,0,0,1,201.9,True
False,17,0,I,182,0.0,18,3,0,0,0.5,DIV,1,2,1,1,0,1,10.3,True
False,22,0,C,279,0.0,21,1,0,0,0.0,SYNC,1,0,1,0,0,0,14.6,False
False,22,0,I,111,0.0,38,2,0,0,0.0,DIV,1,1,1,0,0,1,201.9,True
False,22,0,I,182,0.0,7,3,0,0,0.5,DIV,1,2,1,1,0,1,10.3,True
False,18,0,C,279,0.0,19,1,0,0,0.0,SYNC,1,0,1,0,0,0,14.6,False
False,18,0,I,111,0.0,31,2,0,0,0.0,DIV,1,1,1,0,0,1,201.9,True
False,18,0,I,45,0.0,9,1,0,0,0.0,INC,0,1,0,1,0,0,100.0,False
False,34,0,C,264,0.0,10,1,1,1,0.0,SYNC,1,0,1,0,0,0,0.9,False
False,34,0,C,10,0.0,6,2,1,1,0.0,SYNC,2,0,2,0,0,0,18.2,False
False,34,0,I,26,0.0,16,3,1,1,0.0,DIV,2,1,2,0,0,1,19.2,True
False,40,0,C,259,0.0,38,1,1,1,0.0,SYNC,1,0,1,0,0,0,0.8,False
False,40,0,C,26,0.0,47,2,1,1,0.0,SYNC,2,0,2,0,0,0,37.6,True
